TeamID,Team,Year,dPTS,PTS,aPTS,Ring,W,Playoffs
156,Memphis Grizzlies,2010,-0.283485588,0.508959141,0.792444729,0,40,0
121,Golden State Warriors,2009,-0.283544844,2.08167864,2.365223484,0,29,0
96,Indiana Pacers,2008,-0.285336515,0.800284078,1.085620593,0,36,0
28,New Jersey Nets,2005,-0.286877656,-1.340924375,-1.054046719,0,42,1
51,Orlando Magic,2006,-0.293672025,-0.524075205,-0.23040318,0,36,0
154,Toronto Raptors,2010,-0.301212868,0.90515488,1.206367748,0,40,0
186,Golden State Warriors,2011,-0.319096516,0.963556018,1.282652534,0,36,0
87,Miami Heat,2007,-0.319410559,-1.036153066,-0.716742507,0,44,1
41,Boston Celtics,2006,-0.327240306,0.239051848,0.566292154,0,33,0
67,Sacramento Kings,2007,-0.333239292,0.631501573,0.964740865,0,33,0
326,Miami Heat,2015,-0.342993706,-1.267510683,-0.924516977,0,37,0
104,Atlanta Hawks,2008,-0.358265111,-0.336455769,0.021809342,0,37,1
205,Atlanta Hawks,2011,-0.367395115,-1.144606353,-0.777211238,0,44,1
147,Detroit Pistons,2009,-0.378318496,-1.377020144,-0.998701648,0,39,1
255,Toronto Raptors,2013,-0.381086095,-0.211111066,0.169975029,0,34,0
193,Utah Jazz,2011,-0.386273338,-0.030686497,0.355586841,0,39,0
37,Philadelphia 76ers,2006,-0.388696241,0.588435318,0.977131559,0,38,0
350,Chicago Bulls,2016,-0.398003157,-0.275017515,0.122985642,0,42,0
251,Milwaukee Bucks,2013,-0.431176856,0.202063449,0.633240305,0,38,1
6,Toronto Raptors,2005,-0.435594387,0.588422511,1.024016898,0,33,0
347,Orlando Magic,2016,-0.439587612,-0.163700902,0.27588671,0,35,0
84,New Orleans Hornets,2007,-0.441393335,-0.809302987,-0.367909652,0,39,0
173,Chicago Bulls,2010,-0.444079371,-0.743628925,-0.299549554,0,41,1
97,Sacramento Kings,2008,-0.452584166,0.514296675,0.966880841,0,38,0
327,Charlotte Hornets,2015,-0.484223669,-1.392231414,-0.908007745,0,33,0
209,Milwaukee Bucks,2011,-0.507833322,-1.930180686,-1.422347364,0,35,0
377,New Orleans Pelicans,2017,-0.52392834,-0.306117938,0.217810402,0,34,0
58,Houston Rockets,2006,-0.524925249,-1.740787814,-1.215862565,0,34,0
400,Los Angeles Lakers,2018,-0.54280385,0.468365285,1.011169134,0,35,0
310,Phoenix Suns,2015,-0.545878647,0.568494494,1.114373141,0,39,0
278,Denver Nuggets,2014,-0.546200364,0.814627052,1.360827416,0,36,0
57,Minnesota Timberwolves,2006,-0.552556434,-1.327044232,-0.774487798,0,33,0
12,Golden State Warriors,2005,-0.553107271,0.350790343,0.903897614,0,34,0
166,New Orleans Hornets,2010,-0.555598098,-0.051810212,0.503787886,0,37,0
31,Oklahoma City Thunder,2006,-0.556729239,1.397533879,1.954263118,0,35,0
149,Charlotte Bobcats,2009,-0.557714011,-1.523823997,-0.966109986,0,35,0
139,New Jersey Nets,2009,-0.558026556,-0.446283714,0.111742842,0,34,0
267,Washington Wizards,2013,-0.567393869,-1.19730133,-0.629907461,0,29,0
151,Golden State Warriors,2010,-0.58106743,2.087646776,2.668714206,0,26,0
135,Toronto Raptors,2009,-0.583370016,-0.22020578,0.363164236,0,33,0
33,Toronto Raptors,2006,-0.584215756,1.017502737,1.601718493,0,27,0
8,Orlando Magic,2005,-0.585613975,0.537501332,1.123115307,0,36,0
258,Minnesota Timberwolves,2013,-0.586347125,-0.57301575,0.013331375,0,31,0
219,Minnesota Timberwolves,2012,-0.594225539,0.427328529,1.021554068,0,32.3030303,0
353,Memphis Grizzlies,2016,-0.596978231,-0.959287284,-0.362309053,0,42,1
13,New York Knicks,2005,-0.601814615,0.019802681,0.621617296,0,33,0
107,Chicago Bulls,2008,-0.608823829,-0.511893419,0.09693041,0,33,0
83,Indiana Pacers,2007,-0.632504564,-0.787844195,-0.155339631,0,35,0
71,Oklahoma City Thunder,2007,-0.634656431,0.101162873,0.735819304,0,31,0
287,New Orleans Pelicans,2014,-0.662102907,-0.312864013,0.349238894,0,34,0
165,Indiana Pacers,2010,-0.664188381,0.079239148,0.743427529,0,32,0
75,New York Knicks,2007,-0.672759411,-0.315750786,0.357008625,0,33,0
389,Dallas Mavericks,2017,-0.677323763,-1.887727283,-1.21040352,0,33,0
332,Sacramento Kings,2016,-0.690782814,1.050959789,1.741742603,0,33,0
198,Los Angeles Clippers,2011,-0.69188288,-0.227080081,0.464802799,0,32,0
55,Utah Jazz,2006,-0.70993474,-1.1707411,-0.46080636,0,41,0
286,Sacramento Kings,2014,-0.71405829,-0.123964986,0.590093304,0,28,0
356,New York Knicks,2016,-0.726890669,-1.159002384,-0.432111715,0,32,0
14,Milwaukee Bucks,2005,-0.736252699,0.008486863,0.744739562,0,30,0
54,New Orleans Hornets,2006,-0.740598506,-1.054279944,-0.313681438,0,38,0
11,Los Angeles Lakers,2005,-0.751478118,0.353619297,1.105097415,0,34,0
320,Brooklyn Nets,2015,-0.774072063,-0.472778584,0.301293479,0,38,1
417,Dallas Mavericks,2018,-0.777962013,-1.077567683,-0.299605669,0,24,0
85,Philadelphia 76ers,2007,-0.782032556,-0.956448984,-0.174416428,0,35,0
269,Philadelphia 76ers,2013,-0.786093669,-1.20936482,-0.423271151,0,34,0
291,Cleveland Cavaliers,2014,-0.799342215,-0.67590433,0.123437885,0,33,0
159,New York Knicks,2010,-0.808225119,0.414481696,1.222706815,0,29,0
237,Toronto Raptors,2012,-0.818302619,-1.41287901,-0.594576391,0,28.57575758,0
349,Denver Nuggets,2016,-0.841085044,-0.209537154,0.63154789,0,33,0
81,Boston Celtics,2007,-0.844740255,-0.735729988,0.109010267,0,24,0
254,Portland Trail Blazers,2013,-0.851958683,-0.138730129,0.713228554,0,33,0
201,Detroit Pistons,2011,-0.861365944,-0.650553745,0.210812199,0,30,0
108,Charlotte Bobcats,2008,-0.865249311,-0.56476504,0.300484271,0,32,0
77,Charlotte Bobcats,2007,-0.888377112,-0.465962326,0.422414786,0,33,0
79,Minnesota Timberwolves,2007,-0.895164946,-0.674419155,0.220745791,0,32,0
283,Detroit Pistons,2014,-0.903381435,0.008854642,0.912236077,0,29,0
221,Golden State Warriors,2012,-0.911914156,0.384980657,1.296894813,0,28.57575758,0
47,Charlotte Bobcats,2006,-0.913974857,-0.036777207,0.87719765,0,26,0
26,Portland Trail Blazers,2005,-0.924242454,-0.987305078,-0.063062624,0,27,0
378,New York Knicks,2017,-0.925321795,-0.306117938,0.619203857,0,31,0
238,New Orleans Hornets,2012,-0.928171256,-1.68236547,-0.754194214,0,26.09090909,0
171,Philadelphia 76ers,2010,-0.943776318,-0.679628075,0.264148243,0,27,0
69,Milwaukee Bucks,2007,-0.952845779,0.229915621,1.1827614,0,28,0
263,New Orleans Hornets,2013,-0.952861827,-0.986190264,-0.033328437,0,27,0
344,Minnesota Timberwolves,2016,-0.962893234,-0.068754379,0.894138855,0,29,0
383,Sacramento Kings,2017,-0.964305571,-0.684263626,0.280041945,0,32,0
167,Sacramento Kings,2010,-0.986903464,-0.112763403,0.874140061,0,25,0
25,Utah Jazz,2005,-0.991004171,-0.97598926,0.015014911,0,26,0
114,New Jersey Nets,2008,-0.9989114,-0.8098971,0.1890143,0,34,0
