TeamID,AST,BLK,DRB,ORB,PTS,STL,TOV,TS,Team,Year,aAST,aBLK,aDRB,aORB,aPTS,aSTL,aTOV,aTS,PAG,PPG,W,Ring
79,0.143732666,-0.07380614,0.027391006,-0.130411102,-0.674419155,-0.086333084,0.051790502,-0.322969439,Minnesota Timberwolves,2007,0.051156557,-0.02471399,-0.023078849,0.063069728,0.220745791,-0.014809706,-0.109414298,-0.05743853,1.00985887,0.973263115,32,0
80,0.031551073,0.132327537,-0.112835986,0.050481717,-0.689746863,-0.014817319,-0.336638264,-0.46682139,Detroit Pistons,2007,-0.138052627,-0.122822455,-0.072133081,0.08549452,-1.542495282,-0.101705776,-0.050549219,-1.358208858,0.929839962,0.972250354,53,0
81,-0.161962175,0.006123245,-0.088997397,0.008413619,-0.735729988,-0.006403699,0.152753936,-0.811691859,Boston Celtics,2007,0.091801493,0.100023917,0.030180033,-0.089699169,0.109010267,0.014622833,0.012520509,0.6563024,1.004794382,0.970224833,24,0
82,0.023137454,0.132327537,0.041413705,-0.033654478,-0.77864757,0.00341219,-0.002898024,-0.33326713,Los Angeles Clippers,2007,-0.032936413,-0.079374421,-0.108573369,-0.096706916,-0.588655443,-0.016211256,-0.152862333,-0.50650955,0.973394557,0.968199311,40,0
83,-0.091848679,0.09727079,-0.018883901,0.109377053,-0.787844195,0.007619,0.131719887,-1.309985808,Indiana Pacers,2007,-0.145060374,0.045363486,0.062415671,0.004204649,-0.155339631,0.070684814,0.06718094,-0.043485291,0.992639611,0.968199311,35,0
84,-0.292373277,-0.042956202,0.080677262,0.1584565,-0.809302987,-0.100355783,-0.07581606,-1.50014782,New Orleans Hornets,2007,-0.059565854,0.020135595,0.054006374,-0.082691421,-0.367909652,-0.055454642,-0.171082477,-0.180412585,0.983523533,0.967186551,39,0
85,-0.107273648,0.017341405,-0.142283654,-0.018229509,-0.956448984,-0.005001429,0.023745104,-0.827011861,Philadelphia 76ers,2007,0.111423186,-0.08077597,-0.070731532,0.079888322,-0.174416428,0.017425932,0.054566994,0.000909966,0.992639611,0.961109986,35,0
86,-0.309200516,0.053800422,-0.051136109,0.011218159,-0.999366567,-0.040058177,0.211649272,0.17559054,Orlando Magic,2007,-0.191311508,-0.002289198,-0.33282129,-0.065872827,-1.062850106,0.118337497,-0.012707382,-0.503002204,0.952123709,0.960097225,40,0
87,-0.090446409,0.09025944,0.100309041,-0.133215642,-1.036153066,-0.038655907,-0.056184281,-0.062644063,Miami Heat,2007,-0.125438681,-0.089185267,0.017566087,0.012613946,-0.716742507,-0.044242246,-0.078580209,-0.897912141,0.967317172,0.958071703,44,0
88,-0.326027755,0.003318705,-0.218006229,0.015424969,-1.164905814,-0.054080876,-0.007104834,-0.782838745,Portland Trail Blazers,2007,-0.059565854,0.003317001,-0.150619854,-0.08689607,-0.076307187,-0.076477885,-0.159870081,1.069766435,0.996691201,0.9530079,32,0
89,-0.24189156,0.09586852,-0.19977672,0.089745274,-1.278330854,0.021641699,0.09105406,-1.301425189,Atlanta Hawks,2007,-0.018920918,0.06078053,-0.118384215,0.050455782,-0.07358193,0.004811987,0.00831586,0.493035248,0.996691201,0.948956856,30,0
90,0.067111541,-0.015421183,-0.037987664,0.171803735,2.189365751,0.200023143,-0.102159683,0.386885885,Golden State Warriors,2008,0.211104905,0.033449083,0.37884821,0.182815761,1.768979984,-0.040147953,0.307831144,0.932007753,1.088871097,1.110851653,48,0
91,0.32624168,0.220645018,0.236066201,-0.000497458,2.114864831,0.210876761,0.062001295,0.821037667,Denver Nuggets,2008,0.439228558,0.006291506,0.211829107,0.167879093,1.395797906,0.064408722,0.25215811,-0.339745682,1.070856685,1.107849351,50,0
92,0.548740858,0.175873842,0.215715666,-0.269124513,1.999508568,-0.087597745,0.036223951,2.442658501,Phoenix Suns,2008,-0.239710887,-0.105054563,-0.035304851,0.247993948,1.012922786,0.00601993,-0.076448581,-1.028777948,1.050840673,1.101844748,55,0
93,0.297750932,0.067337658,0.268627056,-0.027631504,1.706311398,0.077919936,-0.001763713,1.443285507,Los Angeles Lakers,2008,0.012854587,-0.027655467,-0.004073637,0.094553633,0.278674929,0.050829933,0.014529304,-0.93375776,1.013811049,1.086833239,57,0
